# number of KF, number of MP, UpdateLM[ms], SearchLP[ms], PoseOpt[ms]
20,1109,0.669750,0.839331,1.381210
25,1223,0.502220,0.722980,2.059475
25,1230,0.480275,0.795761,1.733571
19,1148,0.418379,0.629501,0.833256
35,2216,0.990795,1.645299,2.754719
35,2214,3.968970,2.037139,1.312651
34,2214,1.062450,1.253306,1.082272
35,2214,0.764806,0.988573,1.045308
48,2529,1.135121,1.417972,1.413598
48,2516,1.182886,1.374635,1.042225
48,2516,0.905392,0.860848,0.851968
37,2242,0.749363,1.039788,0.970619
37,2231,3.399169,1.190508,1.088946
49,2537,0.910997,0.755032,0.731902
51,2636,0.938934,0.862330,1.036344
51,2636,1.909721,1.567146,1.252143
54,2762,1.082126,1.060740,1.178574
45,2511,1.057740,0.929926,0.914798
52,2675,1.050430,0.829033,0.809148
55,2802,5.630522,1.387585,1.544227
55,2802,1.052464,1.005438,1.320269
55,2802,1.121239,0.849548,0.849875
56,2831,1.576734,1.105601,1.685791
56,2823,2.064675,1.801714,2.551491
55,2775,1.092499,0.955822,0.824026
57,2869,1.378675,1.039582,1.688846
55,2829,1.594468,2.232839,1.394349
55,2828,1.162360,0.829829,0.724297
56,2810,2.620916,1.134189,0.748499
58,2849,1.242417,1.327046,0.952481
58,2843,1.325565,0.987037,1.089598
58,2843,1.092230,0.813568,0.756141
59,2890,1.788947,1.886605,0.933692
60,2926,1.344694,1.077687,0.955508
58,2846,1.726916,2.069108,1.035710
60,2970,1.103402,1.106791,1.123354
58,2939,2.334186,4.527855,2.474051
55,2915,1.489806,1.353564,0.937371
61,2968,1.402259,1.032465,0.931356
61,2962,2.923404,1.607864,1.353574
61,2962,1.287463,0.887937,0.678352
60,2917,5.571687,2.554156,1.554106
60,2916,1.872779,2.173939,1.104231
60,2916,2.147761,2.252038,1.019777
46,2630,0.844883,1.081294,1.515558
46,2625,1.028264,0.858712,0.907877
46,2625,3.241879,2.079910,0.814321
30,1455,0.865768,1.074178,1.300912
30,1455,0.566262,0.509861,0.878422
30,1455,2.173740,0.668737,0.938897
31,1499,0.874773,1.113857,1.736918
31,1499,0.755552,0.594269,0.901126
31,1499,0.566870,0.505633,0.831156
31,1499,0.639178,0.603371,0.707534
32,1541,0.576105,0.650075,1.416424
32,1541,0.830431,0.941215,1.247138
32,1541,1.041994,1.006990,1.271778
33,1637,0.850642,1.140767,1.528506
33,1632,0.778780,0.777832,1.519008
33,1632,1.515382,0.677672,1.430125
33,1632,0.667774,0.642618,1.080500
33,1632,0.889689,0.927980,1.204328
33,1632,0.851055,1.062477,2.300672
34,1626,0.791949,0.805493,1.154410
34,1625,0.954117,0.733862,0.849177
35,1694,0.866880,2.003394,2.441271
35,1691,0.710608,0.766140,1.164502
35,1691,1.958811,1.191562,1.385324
35,1691,0.639254,0.573618,0.888234
36,1725,1.462314,1.170868,1.301383
36,1723,1.502923,0.998301,1.356769
37,1757,2.206061,0.908577,1.939059
37,1757,0.918979,1.032920,1.907816
37,1757,0.785339,0.736714,0.984187
37,1757,1.411244,2.059687,1.493737
38,1783,1.855388,1.118819,1.584551
38,1783,1.063507,1.712820,2.947736
39,1865,0.746199,0.929921,1.554910
39,1854,1.558936,2.013659,1.860589
39,1854,0.744369,0.753656,1.394711
40,1947,0.920972,1.074075,1.715370
40,1942,1.305178,1.294435,1.739440
40,1942,1.194172,0.766114,2.148934
40,1942,0.941407,2.043614,1.842415
41,1956,1.167329,1.077017,2.224141
41,1946,0.943302,1.393527,2.041033
41,1946,0.834426,0.829002,1.369718
41,1946,1.429450,1.335410,1.646444
42,1976,1.648336,1.465113,1.456838
42,1961,1.225595,1.262394,2.482493
42,1961,0.773654,0.655583,1.022568
43,2034,1.306202,1.902416,2.028412
